Date,GSPC,MSFT,AAPL,V,JNJ,JPM,XOM,WMT,PG,DIS,PFE,UNH,VZ,CSCO,CVX,KO,HD,MRK,INTC,BA,MCD,NKE,IBM,UTX,AXP,MMM,CAT,GS,WBA,TRV
01-Feb-18,-0.039726108,-0.01313721,0.061892184,-0.010438285,-0.06201865,0.003725138,-0.142044019,-0.169162615,-0.087349591,-0.052034503,-0.019905161,-0.045888705,-0.113184226,0.082535915,-0.113325425,-0.096319238,-0.097318114,-0.088715856,0.023607817,0.0218828,-0.081533818,-0.017597428,-0.049269753,-0.023979156,-0.015675186,-0.061705478,-0.046733636,-0.018688659,-0.088437761,-0.075627808
01-Jan-18,0.054657399,0.104998089,-0.010693409,0.085760871,-0.011010877,0.078473252,0.042828585,0.081748436,-0.062190296,0.018744034,0.022386865,0.07141513,0.02130913,0.081206893,0.00127713,0.036593292,0.058259895,0.060074415,0.041999916,0.1836711,-0.005709852,0.090087146,0.064856151,0.078660948,0.000905924,0.06230016,0.032466229,0.050254545,0.035708472,0.105476626
01-Dec-17,0.033766015,0.021154961,-0.011774885,0.014391155,0.008900372,0.022889616,0.013405715,0.015512135,0.020784816,0.025339333,0.007992601,-0.031003887,0.039303987,0.06526983,0.060110866,0.010565592,0.057644212,0.017931205,0.034921539,0.068736441,0.006815652,0.034646181,0.006367348,0.055134234,0.0162423,-0.027446542,0.110110079,0.031483533,0.00384253,0.000516062
01-Nov-17,0.003713141,0.011831541,0.016486647,0.023454345,-0.000573931,0.043955166,-0.000720199,0.107614242,0.048866651,0.069217828,0.03365418,0.081936291,0.073102758,0.058021616,0.026397882,-0.004577626,0.081294711,0.003261947,-0.014391858,0.070413126,0.02986522,0.094168633,-0.000584464,0.014012845,0.02652147,0.054732244,0.044586934,0.02105669,0.093429239,0.023283156
01-Oct-17,0.02194556,0.11034203,0.092403857,0.044055169,0.069807697,0.052020707,0.01657318,0.110962958,-0.052346678,-0.007740195,-0.018089834,0.074593314,-0.033281726,0.015343953,-0.013796785,0.029247331,0.013481776,-0.143176592,0.177803214,0.01472139,0.063249207,0.058796542,0.0600567,0.031210133,0.054427794,0.092273886,0.085192218,0.022057664,-0.152921149,0.084065303
01-Sep-17,0.019119039,0.001562264,-0.058215581,0.018087771,-0.011648563,0.049581045,0.081055616,0.007166545,-0.014079179,-0.026331774,0.060866692,-0.015453065,0.031194856,0.043141663,0.097829018,-0.011925927,0.093307834,0.002658682,0.089808235,0.064886106,-0.01486541,-0.014915261,0.024741141,-0.024821216,0.049398459,0.032679153,0.059637731,0.061786459,-0.049002119,0.01099723
01-Aug-17,0.000546284,0.028075225,0.097733906,0.039004126,-0.00264062,-0.004476923,-0.047460577,-0.024295712,0.02364957,-0.075333409,0.022660437,0.036296838,0.004094271,0.033177436,-0.014483018,-0.006346567,0.001803104,-0.000313126,-0.011341256,-0.01161555,0.03065837,-0.111683913,-0.011400829,0.009652278,0.013923286,0.015537016,0.037785863,-0.007081292,0.010236434,-0.055456125
01-Jul-17,0.019164018,0.053249852,0.032180363,0.059808931,0.003245107,0.004366822,-0.008583889,0.0553876,0.04124867,0.034048978,-0.012884183,0.038003128,0.080421551,0.004780952,0.045530612,0.030029546,-0.025083821,0.004044045,0.050003236,0.203833231,0.019094132,0.004249749,-0.061392787,-0.029418758,0.011683545,-0.034300707,0.058640977,0.015339041,0.029691316,0.018075706
01-Jun-17,0.004802226,-0.007399807,-0.054796864,-0.013570607,0.037624602,0.106698769,0.012252203,-0.031188134,-0.01072806,-0.015780827,0.038016514,0.056809451,-0.043380336,-0.007321457,0.018301514,-0.013729311,0.005045481,-0.01578983,-0.060487477,0.060157981,0.014931959,0.107434105,0.01755256,0.012271764,0.090643953,0.023984397,0.019071395,0.052498358,-0.029597063,0.013366453
01-May-17,0.011509759,0.019957198,0.061488367,0.043020808,0.037983309,-0.045888804,-0.014184726,0.044486724,0.016288558,-0.068560359,-0.038159946,0.001713932,0.027626724,-0.068804162,-0.030642658,0.052370481,-0.016731035,0.043635273,-0.001107285,0.015035396,0.075408722,-0.044656781,-0.048967758,0.019062485,-0.025484111,0.043174451,0.038800723,-0.057663329,-0.065910569,0.025882625
01-Apr-17,0.009050132,0.038718508,-6.96082E-05,0.026099631,-0.008709001,-0.009608708,-0.004399517,0.049434525,-0.028447533,0.019302806,-0.008513459,0.067893062,-0.060022485,0.007956397,-0.006259867,0.025378589,0.067288838,-0.012036387,0.00221568,0.044078104,0.076612371,-0.00264756,-0.082874833,0.05866731,0.001768186,0.023247294,0.097503162,-0.026108384,0.041163715,0.014749381
01-Mar-17,-0.000389273,0.035004729,0.051867523,0.01242142,0.025561655,-0.031158226,0.017552122,0.016083109,-0.013486889,0.029535005,0.012770713,-0.008318467,-0.017890302,-0.011179755,-0.03714581,0.011374477,0.013162463,-0.036013425,0.003515714,-0.010310209,0.022571212,-0.025335659,-0.024221113,0.002907539,-0.011937061,0.03286429,-0.041184299,-0.074199056,-0.034801792,-0.014004657
01-Feb-17,0.036523001,-0.010417586,0.121229122,0.061314433,0.076143124,0.073903859,-0.031114349,0.060889013,0.046735561,-0.005073945,0.072621144,0.020032367,0.023196645,0.115276613,0.010274925,0.009338205,0.051907139,0.060710004,-0.01698181,0.097910171,0.040609755,0.077451013,0.029917148,0.025921799,0.051311287,0.06386969,0.018662835,0.078552129,0.052768878,0.037167748
01-Jan-17,0.017726315,0.039598347,0.046641706,0.058375367,-0.01715872,-0.010110212,-0.073188185,-0.027908111,0.041012232,0.067545306,0.000945832,0.012789775,-0.085411925,0.016409927,-0.055460711,-0.010290982,0.025769023,0.059285637,0.015050037,0.048520918,0.006959183,0.026160242,0.050111713,0.000456071,0.030575071,-0.020775635,0.03100024,-0.043226064,-0.009957602,-0.032887985
01-Dec-16,0.018037111,0.037454147,0.051961821,0.011114728,0.041413556,0.064249997,0.042159676,-0.01877496,0.019455281,0.050172776,-0.003860459,0.014779239,0.067415111,0.013324823,0.063537875,0.048496777,0.040824044,-0.03865221,0.051794092,0.048785714,0.028079693,0.032422437,0.032005164,0.023632628,0.027924219,0.044941812,-0.029954449,0.091044395,-0.018927743,0.076977407
01-Nov-16,0.033603545,0.005658112,-0.026958717,-0.064966859,-0.041274572,0.153524679,0.046661827,0.005838611,-0.04360785,0.067070709,0.013469284,0.113520817,0.04806872,-0.020201329,0.062985856,-0.049556794,0.058805418,0.041203384,-0.004886997,0.055510985,0.057814587,-0.002194411,0.054015953,0.052603826,0.086242978,0.038219771,0.144175472,0.207264167,0.023887427,0.04668378
